"","lon","lat"
"947",-73.087749,41.6032207
"948",-105.8700901,34.5199402
"949",-95.563545,29.663682
"950",-119.4179324,36.778261
"951",-2.58791,51.454513
"952",-3.435973,55.378051
"953",-71.0588801,42.3600825
"954",-95.712891,37.09024
"956",-74.0059728,40.7127753
"957",-84.2700179,37.8393332
"958",-89.9937018,34.823987
"960",0.2954812,51.2584656
"961",-79.6515263,43.6589437
"963",101.975766,4.210484
"964",-77.4360481,37.5407246
"965",-71.8800628,42.050091
"966",-3.435973,55.378051
"967",-2.7044052,53.7632254
"968",-0.1277583,51.5073509
"969",-94.4158618,35.3855564
"970",-79.3831843,43.653226
"971",-0.1277583,51.5073509
"972",-3.435973,55.378051
"973",-72.6733723,41.7658043
"974",-77.4360481,37.5407246
"975",-96.8448925,32.7497916
"976",-90.1994042,38.6270025
"977",-2.0784138,55.2082542
"978",-77.0368707,38.9071923
"979",0.121817,52.205337
"980",-119.7526886,39.5349112
"981",121.774017,12.879721
"982",20.8998759,37.7870331
"983",-7.6920536,53.1423672
"984",121.6283098,-27.6728168
"985",-86.0085955,40.0455917
"987",140.1035697,39.7199218
"988",-90.1487199,38.7014389
"990",-83.0457538,42.331427
"991",4.4350213,50.9125785
"992",121.6283098,-27.6728168
"993",-3.1587682,55.9124858
"994",-79.3831843,43.653226
"995",-0.1277583,51.5073509
"997",-86.2353006,39.7953542
"998",-2.2426305,53.4807593
"1000",-86.5804473,35.5174913
"1002",-77.0368707,38.9071923
"1003",-85.4807825,32.6098566
"1004",-3.435973,55.378051
"1005",-82.907123,40.4172871
"1006",-99.9018131,31.9685988
"1007",-78.8783689,42.8864468
"1008",-82.9000751,32.1656221
"1009",-93.6249593,41.5868353
"1012",-71.3825558,41.878711
"1013",-81.5706109,30.7478954
"1014",-3.435973,55.378051
"1015",-95.7150582,37.0901287
"1017",-95.712891,37.09024
"1018",-96.6397822,33.1972465
"1019",-106.346771,56.130366
"1020",-0.4617075,50.9280143
"1021",-71.0588801,42.3600825
"1022",-0.798802,51.214321
"1023",-95.712891,37.09024
"1024",-77.0368707,38.9071923
"1025",-90.1994042,38.6270025
"1026",-0.1277583,51.5073509
